Author,Comment,Time
@SWAGLIFT,What a BANGER! 💯💣💥,1 minute ago
@undertow4629,"Ok linkin...I see you haha. But I'll only exept/respect you if after the release you really start "" From Zero"" and only play the New stuff Live.. rare events do an old school song.  Start ""From Zero"" please..",1 minute ago
@torjlou,"""STOP YELLING AT ME"" I feel like I'm a teenager again. This is sick.",1 minute ago
@matthewdesjardins6081,"Just not hitting on the same level, I respect everyone trying to move past the past but this isn’t working. Best of luck in the future, I’ll live in the linkin park past. The present vocals just doesn’t do it for me 😢",1 minute ago
@avada0,"So they dusted off the old guitar effects and made some proper metal music, that sounds like Linkin Park.",1 minute ago
@allon4minoffpeter547,Two face one love,1 minute ago
@MurugesanM-x4z,"You explained this so well, thank you!",2 minutes ago
@Axel-rg3du,this song sounds like is made for a god,2 minutes ago (edited)
@PW_Thorn,Big up for Emily's level of craziness ❤❤❤,2 minutes ago
@Kenoshahattrick,shave your head,2 minutes ago
@jeffersonosoriomunoz5518,🥲,2 minutes ago
@user-ci6tw2ud2i,1:05 so perfect! Awesome !😮,2 minutes ago (edited)
@starvetheegofeedthesoul9072,Reminding me of The Guano Apes,2 minutes ago
@Lucas-m9q5,Melhor música do ano ❤,2 minutes ago
@mikasakamishiro1516,Molestuje player xD,3 minutes ago
@ronnyrr9010,bizkit park xd,3 minutes ago
@adilO.o,This is my Linkin Park ❤ this song just sent me back almost 24 years back to my teenager room jumping. Tomorrow I am definitely gonna headbang with my daughters on this one !!!,3 minutes ago
@SaravananE-s7p,"You explained this so well, thank you!",3 minutes ago
@Kiimjiim,"🇧🇷 Simply perfect! I thought the relaxed vibe of this video was incredible, they seemed to have a lot of fun. And those screams? I loved it, it reminded me of the feel of the old songs. 🖤💣",3 minutes ago
@AJsFigures,"I am so torn, the whole band are killing it, but the new vocals and the mix are so frail and desperate sounding.  No power, no weight.",3 minutes ago
@Glimpseofbrent,What a banger,3 minutes ago
@johnbarron8535,This is like it! I like this song.,4 minutes ago
@LukasDudek7,You plowed my bad mood after a hard day with this song!,4 minutes ago
@lusked6626,"that breakdown, that scratch, that scream
punching me straight back to the mid 00's watching amvs",4 minutes ago
@charlettekeizer2753,Like this a lot😎,4 minutes ago
@ДімаХейтер,what is this song about????,4 minutes ago
@MiguelKobainofficial,so 2000's vibe love it <3,4 minutes ago
@danielmelo7146,Magnificent.,4 minutes ago
@merimama3112,"Fantastic explanation, thank you!",5 minutes ago
@jindrichspilka2412,lying from you meets figure.09,5 minutes ago
@SwivelHippie,Major Hybrid vibes....so good! And she looks like Cameron Diaz!!,5 minutes ago (edited)
@JPMIIIIIIIII,voz do mike combina demais com lp.. nao tem como tirar nao,5 minutes ago
@luizrafael3847,MUITO BOM ESSA POH@! VIVA O LP 🤘🏻🔥🎵,5 minutes ago
@MarcosBay_,CQC,5 minutes ago
@kleocrow,"⭐⭐⭐⭐⭐ - 5 star would recommend - Absolute Gold - The flavors, the ambiance and the whole presentation - GLORIOUS!!!! Will be back soon!!!",5 minutes ago
@HusterHammerleqp,Great video! Really enjoyed it.,5 minutes ago
@bettyayalattenicela6557,Me encantó el baile,5 minutes ago
@MeghanR-g6c,"This was super helpful, thanks!",5 minutes ago
@solanged.0325,it goes so hardddd,6 minutes ago
@RyanGraham-lk4dx,Yes this is a banger,6 minutes ago
@randymanx2674,Please stop. It’s over.,6 minutes ago (edited)
@solanged.0325,save me emily in a suit pls save me,6 minutes ago
@igorstepanyk8682,Guano Apes light version,6 minutes ago
@bmloveofficial,My millennial heart is healed…. Ty LP ❤❤,6 minutes ago
@NageshThakare-j5f,"This was super helpful, thanks!",6 minutes ago
@thebambinofan,This is the definition of going back to your roots. I am here for this track for traci,6 minutes ago
@fers_one,Круто...,6 minutes ago
@jaredmiller8740,"I'm an OG LP fan, the sound is good, but she ain't no Chester. I'm gonna listen to a couple of the other new songs before I judge too harshly tho.",7 minutes ago
@KailashMeena-u5d,"Loved this video, keep up the great work!",7 minutes ago
@sarnam-b2m,"This was very informative, appreciate it.",7 minutes ago
@Sagi56668,Wow who’s the chick?????,7 minutes ago
@RomyRoelofs,AMAZING🎉,7 minutes ago
@JK-zv2ex,Chester would annihilate that chorus & screams,7 minutes ago
@RenanRochaDaSilvaCruz,LINKIN PARK IS BACK!!!!,7 minutes ago
@Milkers777,Super Nostalgic and yet still Super Modern I FREAKING LOVE IT!!!!🤩🥵🎸🔥,7 minutes ago
@Naiara_Delacosta,Ameiii essa música 🤘🏽 🖤🎶,7 minutes ago
@SuperJet-j5o,"Смогли!!!...🤘🏻🤘🏻🤘🏻 
Хейтеры идут в форест - в лес, nah... 😂",7 minutes ago
@carlosmendivil5459,"Chester should be produ AF. Thanks for bringing back my childness.

This sounds Hybrid Theory AF 🤘🤘🤘🤘",7 minutes ago
@TanaTanaTanule,"Verry nice, welcome back ❤❤👏🙏",8 minutes ago
@mdshafiqulislam-o7d,Amazing content as always!,8 minutes ago
@AraKlet,this brings joy,8 minutes ago
@studiopisces88,Once again.... aaaahhhhhh!,8 minutes ago
@สากลบุญเกิด,"Great tips, thanks for sharing!",8 minutes ago
@elfidelibirris,❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥❤‍🔥,8 minutes ago
@Manfred-ml1oq,S....h...11. ...|.    I  like it🎉,8 minutes ago
@scootyang2311,Just great to have Linkin Park around during my life time,8 minutes ago
@loveMovementJ,Talented af,8 minutes ago
@dimdim1781,"Ну кто-то слышал Limp Bizkit, Halestorm  и Guano Apes😂 Держите марку, как всегда говно😂",9 minutes ago
@fiorelemus8903,TEMAZOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,9 minutes ago
@MARLANENTRETENIMENTO,👏🏻👏🏿👏🏾👏🏽✊🏽🇧🇷,9 minutes ago
@savornsaing,"This video was amazing, learned a lot.",9 minutes ago
@iwansuryataklal7696,Oh my god this  is linkin park new era. Woh female sound amazing.. The great come back LP. Iove ❤❤❤❤,9 minutes ago
@robertoaguirre2317,What KIND of PARAMORE is this?,9 minutes ago
@LaKlerre,I am imaging the haters now quietly listening to that masterpiece 😊,9 minutes ago
@MonstaDaGoat,This is horrible wtf happened to linkin park. This is a failure,9 minutes ago
@SanmugamLalitha-t9t,"Fantastic explanation, thank you!",10 minutes ago
@suchatplahan3836,"This was very informative, appreciate it.",10 minutes ago
@kvazistat,Why da it sound like Limp Bizkit,10 minutes ago
@Mrmorland,This is tragedy.,10 minutes ago
@AAS-wl3vq,Surprised they didn't have an eminem appearance. This is just one more reason to make sure bands change their name after the true talent passes on. Bleech,10 minutes ago
@ScrappyCross,This isn't right without chester! 😞,10 minutes ago
@MARLANENTRETENIMENTO,😂😂😂,11 minutes ago
@crazylocked9969,Mucha suerte linkin park 👍👍,11 minutes ago
@xTeeDox,I'm I dreaming? 🥹💥🤘🤘,11 minutes ago
@LikaLinkin,❤❤❤❤❤❤❤❤❤🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥😍😍😍😍😍😍,11 minutes ago
@RaynoK,One word! :  Amazing!,11 minutes ago
@mansinghyadav9865,"This was exactly what I needed, thanks!",11 minutes ago
@mrgonzale0978,"chester,chester,chester. jesus people move on already. you are grown men stop crying.",12 minutes ago (edited)
@prashannikumbh4659,They are back finally with a banger 🔥😍,13 minutes ago
@slimjarden1997,"It sounds like a song from Meterora or Hybrid Theory, I just love it.",13 minutes ago
@hungarianjedi,"This is the best comeback that a band ever done.
I'm sure Chester was proud.",13 minutes ago
@italinstalion,Just listened to Figure09. If you listen to it closely look at the time signature and check the breakdown 2mins almost a copy paste. Do better. 😢😂😂🎉🎉,14 minutes ago
@jorgeisaacrodriguez5467,Linkin park nunca perdió la chispa !!!,14 minutes ago
@monuniverse,Giving that 2000’s feeling but in a new modern and better way 🔥,14 minutes ago
@Skoogz_,Oh?! Their just having fun with it! Lets goooo,14 minutes ago
@PepGuard-tp4ny,Chester was much better.,14 minutes ago
@PATRICK30999,Remember when this band was good,14 minutes ago
@andresgonzalez9185,"Astutos los de Linkin Park, ponen a una chica guapa a remplazar a chester. Yo ya casi no lo extraño",14 minutes ago
@torn1975,They’re SO back! Awesome,15 minutes ago
@lnazh6313,Bitxh just Trying to scream and be like chester pissed me off,15 minutes ago (edited)
@AAS-wl3vq,"Amen, RIP Chester",8 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,11 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,11 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,10 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,10 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,10 minutes ago
@beezybeez7231,This is so good but you must hear “The Wave” or “City” by SLT 🤘🌊🌃,10 minutes ago
