Author,Comment,Time
@RocioMaz,TE MA ZO,1 minute ago
@dios3178,DEFENSORES DE VIOLADORES,1 minute ago
@Bernado-Tube,Esto es linkin park señores🤟,1 minute ago
@ali.ebest13,Keren,1 minute ago
@nortinoiqq4173,RIP LP,2 minutes ago
@carolinap.5562,Pelo amor de Deus! se isso não é Linkin Park eu tô fora da realidade mesmo!,2 minutes ago
@johangonzalez9039,who in 2025?,2 minutes ago
@keilespinosa9571,that broken screams tho. Emily really is something to look forward to.,3 minutes ago
@anhnguyetamnu9443,"Thanks god, you're still keep the vibe of a Linkin Park we've all known! Love y'all!",3 minutes ago
@lailacampos1117,impressionante como é uma música melhor que a outra. from zero já nasceu aclamado,4 minutes ago
@glencurran8171,SHUT UP WHEN YOU'RE YELLING AT ME!,4 minutes ago
@lucanavesse8167,🫶🏻🇺🇾💚,4 minutes ago
@Buenos1984,Emily me está mandando un mensaje 1:15 ✂️😅. Cuando quieras,4 minutes ago
@xXRevolutionWolFXx,OMG! LINKIN PARK ALIVE FOREVER!!!,4 minutes ago
@tasosk.5003,"Linkin joke... Some kind of the sound, absolutely no Linkin park... Maybe some other teenage kind of rock band but not Linkin park.. LINKIN PARK's soul left with him... 😢😢 Good paradise..",5 minutes ago
@MariaRita-u1f,PQP LANÇA LOGO ESSE ALBUMMMMM,5 minutes ago
@joshuagonzalez6188,Meh...,6 minutes ago
@innaramadhani2956,So this is Linkin Park!!!!,6 minutes ago
@namonef,"If they happy, im happy.",6 minutes ago
@RM-qy2pf,W,7 minutes ago
@whiskeredtamarin,"It's like I'm back at the 2000th, I'm late for school but there's a CS 1.6 tournament scheduled later at the day, so it doesn't matter. Love it!",7 minutes ago (edited)
@davidaguirre2456,No sé porque me da tristeza 😢,8 minutes ago
@beyhan4310,I wanna marry with Emily and Mike at the same time.,8 minutes ago
@brandynatkinson7003,"Honestly she ruined the entire band. No offense to her and no I'm not a woman hater. But they should have just let the legacy die, every song she is on is complete garbage, she's annoying and does not fit the band at all. They would have been better off staying with just original members. Get her out of there",8 minutes ago
@daxxavierapro,I love that they're wearing corporate suits. You have to be two-faced in the corporate world.,9 minutes ago
@fischls5771,This is fricking trash. These are all old songs with different lyrics. Stop making music and retire or do something new,9 minutes ago
@aphesz_,damn shes so cute.,9 minutes ago
@Gustav-pc6qh,YA NI LOS VIDEOS TIENEN SENTIDO O HISTORIA COMO EXTRAÑO LO ANTIGUO,9 minutes ago
@elnachovi_plantix,ta terrible wena esta mierda csm,9 minutes ago
@adrianaragon3525,The baby's One Step Closer and A place for my head,10 minutes ago
@1lagrimanegra,Me encantó ese puente !!!,10 minutes ago
@Gustav-pc6qh,"TRATO QUE ME GUSTE, PERO LA VOZ DE LA FLACA ME ESTRÉSA. MIKE DE PTM, PERO QUEDA CORTO AUN SE SIENTE LA AUSENCIA DE YA SABEN QUIEN",10 minutes ago
@omarthecat9,Rocking,10 minutes ago
@BiW_Jakkachai,One step closer 2.0🔥🤘🔥,11 minutes ago
@hottest2pm,LETS MOTHERFUCKING GO,12 minutes ago
@thaleshenrique1329,"This is very reminiscent of One Step Closer with Somewhere Belong, it's very good",12 minutes ago
@KeshOwlk,"It sounded a lot like Caught in the Middle by Paramore in the chorus, interesting.",12 minutes ago
@tiagoaquino8766,"Mate, this clip give me SOAD Chop Suey vibes",12 minutes ago
@ivoknight,ohhhhhhhhh I liked a lot!,12 minutes ago
@FluffBite,Perfect,13 minutes ago
@oswaldolandero,"Sold out everywhere 
Are u blind?",6 minutes ago
@oswaldolandero,Bot,5 minutes ago
@oswaldolandero,El de Papercuts tiene mucha historia verdad 😂,5 minutes ago
@oswaldolandero,No importa crack aún somos suficientes para llenar estadios así que no eres necesario,3 minutes ago
@andreparagas5443,"Intro - gives me qwerty/given up vibe 

1:58 - place for my head/ one step closer “you try to take the best of me” “shut up when I’m talking to you”",13 minutes ago
@carneios08,This is the Linkin Park I love! Keep it up!,13 minutes ago
@jackienavarrete2435,"Linkin Park is back and I'm all here for it !!! 💚💚💚 after all they went through loosing a band member in the manner in which they lost him.
They deserve this come back and all the success in the world oh and the chick is incredible. I like her 🔥",14 minutes ago
@amangogna68,"Great music, amazing vocals and fantastic band ! ❤",14 minutes ago
@gummi179,Reliving my teenage years - love this ! ❤,14 minutes ago
@enzosciascio7587,"wow  over and over i feel this album i so  diferent the melodies and styles vary, completely diferent from the previous albums",14 minutes ago
@annamariasilveira2529,"LP, I love you! 🇧🇷",14 minutes ago
@WillyCorrea-bc1xp,just thnks.,15 minutes ago
@jeksonpinontoan2709,Love it,15 minutes ago
@lulanivandermerwe313,"Been screaming and dancing to Linkin Park since before 2000! The new songs are great, I can't stop moving. Congratulations with the new album! I'll be listing to them on repeat that's for sure (like I've been listening to all the other LP songs on repeat lols)",15 minutes ago
@jimmyleeguzman8353,This is too much of one step closer,15 minutes ago
@pongsoonmianlamai1732,One Step Closer + Figure.09 + Rollin',15 minutes ago
@yusufarigousaki3011,"Linkin Park is Back...
feel like that time.❤❤❤",16 minutes ago
@felipesalcedo88,Thank you guys for giving us back so much talent! I'm loving it. Greetings from Colombia🇨🇴 we love you,16 minutes ago
@checkmatenate,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,16 minutes ago
@lakshitjuneja265,Now thats old school.  So so good. Emily is amazing!  2002-2004 LP vibes,17 minutes ago
@kahero95,I didn’t expect this album get stronger like this it’s incredible 🔥🔥🔥🔥,17 minutes ago (edited)
@Ghostwhite1014,She looked like she was having a lot of fun I never stopped smiling 😂,17 minutes ago
@maumutsimi,Linkin Park returning to roots,17 minutes ago
@MrBlahgBlagh,I hear Figure.09 in this!,17 minutes ago
@cliffanderson7544,So overrated!!!!!,18 minutes ago
@gamessogras6113,Slk ...,18 minutes ago
@wifeunderthesea,"the chorus is just a straight ripoff of TDG's ""painkiller"", they're copying paramore's ""caught in the middle"", emily is trying WAY TOO HARD to seem so qUiRkY, and they are trying way to hard in general. i have no idea what happened to LP, but this ain't it. oooof.",18 minutes ago
@irbijislabak,ok.. finely LP..,19 minutes ago
@ZIKAGAMEPLAYBR,Esse álbum vai ser incrível 😮🤘🏻,19 minutes ago
@rfurosa,"Genial, me encanta Linkin park . Me causa lo mismo que hace 20 años. Gran elección Emily y los músicos siguen siendo geniales.",19 minutes ago
@jubzlinha90,Ta po$#%@%  MARAVILHOSOOOOO❤,19 minutes ago
@7538fo,I still don’t get what everyone see in her🤷🏼‍♀️it’s not bad but nothing special as it was before,19 minutes ago
@CarKaze,Hola Shinoda te amo,20 minutes ago
@Emm_Hi,Lmao I love Emily's dance,21 minutes ago
@estherdart6939,"BRAD ON IT, WAS ME I REQUEST",21 minutes ago
@kimnat95,Te extrañaba mucho Linkin Park,21 minutes ago
@jo4oserafim,Awesome!!! Nostalgic and new!! 00's never die!!,21 minutes ago
@robbo3784,This is just class I feel like I’ve went back to the early 2000s keep them coming 🔥,21 minutes ago
@АлексейКочетков-я3с,"Но ведь это же кал. Лучше бы не выпускали ничего, чем пережевки собственного творчества",22 minutes ago
@MrTajmahaas,That Kim Dracula?,22 minutes ago
@Ray1986tr,👏🏻👏🏻👏🏻,22 minutes ago
