Job Title,Company,Location,Kind of Job,Posted On,Job Description
Senior Gen AI Developer (Onsite),Cognizant,"Houston, Texas, USA",Full-time,Posted 5 days ago,"GenAI Developer Experience Range - 10+ Years Location : Houston , TX Essential Job Functions & Responsibilities GenAI Application Development: Design, develop, and deploy cutting-edge GenAI applications, such as conversational chatbots, that provide exceptional user experiences. Proof of Concept to Production: Collaborate with cross-functional teams taking existing proof of concepts to production. Hands-On Development: Write clean, efficient, and maintainable code primarily using python and obj"
Senior Gen AI Developer (Onsite),Cognizant,"Houston, Texas, USA",Full-time,Posted 11 days ago,"GenAI Developer Experience Range - 10+ Years Location : Houston , TX Essential Job Functions & Responsibilities GenAI Application Development: Design, develop, and deploy cutting-edge GenAI applications, such as conversational chatbots, that provide exceptional user experiences. Proof of Concept to Production: Collaborate with cross-functional teams taking existing proof of concepts to production. Hands-On Development: Write clean, efficient, and maintainable code primarily using python and obj"
Gen AI Developer and Architect,Meraki IT Solutions,"Dallas, Texas, USA","Contract, Third Party",Posted 8 days ago,"Looking for Gen AI Developer and Architect location : NJ and TX (Hybrid) Client : Verizon must have skills : open AI, Llama, Hugging face, Lang Chain Etc.. Mahesh Goud | Sr IT Recruiter Mobile: Email:"
Senior Gen AI Developer (Onsite),Cognizant,"Houston, Texas, USA",Full-time,Posted 10 days ago,"GenAI Developer Experience Range - 10+ Years Location : Houston , TX Essential Job Functions & Responsibilities GenAI Application Development: Design, develop, and deploy cutting-edge GenAI applications, such as conversational chatbots, that provide exceptional user experiences. Proof of Concept to Production: Collaborate with cross-functional teams taking existing proof of concepts to production. Hands-On Development: Write clean, efficient, and maintainable code primarily using python and obj"
SENIOR GEN AI DEVELOPER (ONSITE),Cognizant,"Texas, USA",Full-time,Posted 2 hours ago,"GenAI Developer Experience Range ? 10+ Years Location : Houston , TX Essential Job Functions & Responsibilities GenAI Application Development: Design, develop, and deploy cutting-edge GenAI applications, such as conversational chatbots, that provide exceptional user experiences. Proof of Concept to Production: Collaborate with cross-functional teams taking existing proof of concepts to production. Hands-On Development: Write clean, efficient, and maintainable code primarily using python an"
Gen AI SOftware Developer,"Digipulse Technologies, Inc","Jersey City, New Jersey, USA",Contract,Posted 1 day ago,"Qualifications: Bachelor's degree in Computer Science, Engineering, or a related field.Proven experience in software development, with a strong foundation in programming languages such as Python, Java, or C++.Demonstrated expertise in emerging technologies such as GenAI, artificial intelligence etc.Experience applying emerging technologies to solve complex business problems and drive innovation.Strong analytical and problem-solving skills, with the ability to think creatively and strategically.E"
Gen AI developer,Proxim Systems,"Woodlawn, Maryland, USA",Full-time,Posted 60+ days ago,"Master's degree and 10+ years of experience in a related field or bachelor's degree and 12+ years of experience in a related field.5+ years of experience with Python systems/application analysis and design3+ years of combined experience in SOA/Microservice architecture/RESTful web service 2+ years of experience working with PostgreSQL databaseStrong programming skills in Python are essential. You should be comfortable writing clean, efficient code. Strong analytical and problem-solving skills ar"
Python Developer with Gen AI,Net2Source Inc.,"Chicago, Illinois, USA",Contract,Posted 16 days ago,"Net2Source Inc. is an award-winning total workforce solutions company recognized by Staffing Industry Analysts for our accelerated growth of 300% in the last 3 years with over 5500+ employees globally, with over 30+ locations in the US and global operations in 32 countries. We believe in providing staffing solutions to address the current talent gap - Right Talent - Right Time - Right Place - Right Price and acting as a Career Coach to our consultantsRole: Python Developer with Gen AI Location:"
AI Developer,"INTRATEK COMPUTER, INC.","Los Angeles, California, USA",Contract,Posted 2 days ago,"Job descriptionJob description Intratek Computer, Inc., an Irvine, California based company, was founded and incorporated in 1989 as a computer service, support, and networking firm to provide state-of-the-art customized information technology solutions for Federal, State and County agencies, as well as leading private commercial accounts. We have comprehensive experience providing IT support services, including hardware and software support, maintenance and repair, programming, professional sta"
Python Developer with AI,Zealogics,"Tampa, Florida, USA",Contract,Posted 1 day ago,"We are looking for a skilled Python Developer with expertise in AI . The ideal candidate will have a passion for building models and applications that leverage generative algorithms to create new content, enhance user experiences, and solve complex problems. Key Responsibilities: Design, develop, and maintain Python applications that utilize AI techniques. Collaborate with cross-functional teams to gather requirements and define the scope of AI projects. Preprocess and analyze large datasets for"
