Job Title,Company,Location,Required Skills,Kind of Job,Posted On
AI/Gen AI Developer,"Irving, Texas, USA",Not available,"Job role : AI/Gen AI Developer Location : Alpharetta, GA or Irving, TX (3 times a week) Tampa, FL would also work Duration : Long term Job details : AI/Gen AI Developer Gen AI Gemini Python Language Mandatory API Understanding Telecom exp would be good to have Working mostly on Gen AI based solution .",Not specified,Not available
Gen AI Developer,"Houston, Texas, USA",Not available,"Job Title: Gen AI Developer Job Type : Contract Job Location : Houston ,TX (Onsite) Required Skills : Python, Azure, Pyspark, Generative AI, Open AI,Google Cloud Platform We are seeking a highly experienced Sr Gen AI Developer with 10 to 14 years of experience to join our dynamic team. The ideal candidate will have a strong background in Open AI, Google Cloud Platform, Azure, Generative AI, PySpark, and Python. This role involves analyzing business needs, developing strategies, and implementi",Not specified,Not available
Sr Gen AI Developer,"Houston, Texas, USA",Not available,"Job Title: Sr Gen AI Developer Job summary Experience : 10to14Yrs Required Skills : Python,Azure,PySpark,Generative AI,Open AI,Google Cloud Platform We are seeking a highly experienced Sr Gen AI Developer with 10 to 14 years of experience to join our dynamic team. The ideal candidate will have a strong background in Open AI, Google Cloud Platform, Azure, Generative AI, PySpark, and Python. This role involves analyzing business needs, developing strategies, and implementing solutions that lev",Not specified,Not available
"Sr. Gen AI Developer/Architect- Houston, TX","Houston, Texas, USA",Not available,"Job Details Python Proficiency: 10+ years of experience in software development. Strong proficiency in Python programming, with experience in object-oriented frameworks and the entire software development lifecycle. GenAI Expertise: At least 5 years of experience in AI, with a minimum of 2 years focused on Generative AI. LLM Proficiency: At least 1 year of hands-on experience interfacing with and leveraging Large Language Models (LLMs). GenAI Production Experience: Proven track record of impleme",Not specified,Not available
Sr Gen AI Developer,"Houston, Texas, USA",Not available,"Hi All, Good morning. We have an urgent position for the below mentioned requirement. Job Title: Sr Gen AI DeveloperLocation: Houston, TXDuration: Long TermClient: CTS Experience: 10to14Yrs Required Skills: Python, Azure, PySpark, Generative AI, Open AI, Google Cloud Platform Job summary:We are seeking a highly experienced Sr Gen AI Developer with 10 to 14 years of experience to join our dynamic team. The ideal candidate will have a strong background in Open AI, Google Cloud Platform, Azure, Ge",Not specified,Not available
GEN AI Developer,"Irving, Texas, USA",Not available,"Role: GEN AI DeveloperDuration: Full TimeLocation: Irving, TX Job DescriptionGEN AI DeveloperProficient in Python, particularly in relation to Model training, NLP, Gen-AI and creating end to end frameworks.Well versed in Data science concepts, modelling techniques, statistical models, deep learning Proficient in modeling- Training, testing and evaluating models. Experience with modern LLM-based libraries such as LangChain, PyTorch, GPT, Transformers.Knowledge of creating API using WSGI server l",Not specified,Not available
Sr Gen AI Developer,"Houston, Texas, USA",Not available,"Net2Source Inc. is an award-winning total workforce solutions company recognized by Staffing Industry Analysts for our accelerated growth of 300% in the last 3 years with over 5500+ employees globally, with over 30+ locations in the US and global operations in 32 countries. We believe in providing staffing solutions to address the current talent gap - Right Talent - Right Time - Right Place - Right Price and acting as a Career Coach to our consultants.Onsite in Houston TXJob Title: Sr Gen AI Dev",Not specified,Not available
GEN AI DEVELOPER,"Allentown, Pennsylvania, USA",Not available,"JOB DESCRIPTION POSITION: GEN AI DEVELOPERDURATION: Long termLocation: PENNSYLVANIA, ALLENTOWN Hybrid Job DescriptionRoles & ResponsibilitiesDesign, develop, and train generative AI models (e.g., GPT, DALL-E, Stable Diffusion) for applications such as content generation, data synthesis, and automation.Implement and optimize machine learning algorithms to enhance the performance and capabilities of generative AI systems.Prepare and preprocess datasets for training and evaluating generative AI mo",Not specified,Not available
Sr. GEN AI Developer / Lead_TX,"Irving, Texas, USA",Not available,"We are looking to hire Sr. Gen AI Developer / Lead for Irving, TX. Our challenge We are looking for GEN AI Developer / Lead at least 8-12 years experience to join our team. The Role Responsibilities: Develop and fine tune NLP/NLU models, including transformer-based models (BERT, GPT etc.,) for a range of language understanding tasks (language generation, sentiment analysis, entity recognition etc.,) Additionally design and implement generative AI models by leveraging LLMs for text generation an",Not specified,Not available
Gen AI-ML Developer (Remote)-59508,"Remote or Dallas, Texas, USA",Not available,"Job DescriptionJob DescriptionGen AI - ML Developer (Remote) -59508 We have an immediate ""hands-on"" opportunity for a Gen AI - ML Developer to support both design and development initiatives. This position requires proficiency in programming languages like Python, and frameworks such as TensorFlow or PyTorch to collaborate with cross-functional teams in integrating AI/ML solutions into overall project architecture. In addition to other responsibilities, the Ai -ML Developer will conduct data ana",Not specified,Not available
Lead SNOW Developer (Gen AI),"Charlotte, North Carolina, USA",Not available,Job#: 2042906 Job Description: Apex Systems is seeking experienced ServiceNow Developers for one of their reputable financial clients. We cannot work c2c/c2h or provide sponsorship now or in the future. Direct W2 candidates only** Pay Rate: 55 - 75/hr **W2 only ** APPROVED LOCATIONS - Minneapolis MN - Chandler/Phoenix AZ - Des Moines IA - Dallas TX - Charlotte NC - New York/New Jersey PROJECT SUMMARY - Will be supporting technology teams with the implementation of ServiceNow's Generative AI sol,Not specified,Not available
Junior ServiceNow Developers (Gen AI),"Charlotte, North Carolina, USA",Not available,"Job#: 2042907 Job Description: Apex Systems is looking to hire mid-senior level ServiceNow Developers for one of their reputable financial clients. We cannot work c2c/c2h or provide sponsorship now, and in the future Position: ServiceNow Developer **Candidates must live in the following locations: Location: Phoenix AZ, Dallas TX, Charlotte NC, Minneapolis MN, Des Moines IA, and NYC/NJ area Contract: 12+ months with FTE conversion potential Pay Rate: 53-56/hr W2 ONLY Top requirements: 3+ y",Not specified,Not available
Python Developer(LLM/Gen AI/ML),"Phoenix, Arizona, USA",Not available,"Job Title: Python Developer(LLM/Gen AI/ML) Location: Phoenix, AZ Duration: Long Term Contract Job Description: 1) Design, develop, test, and deploy high-performance Generative AI-enabled capabilities. 2) Build internal frameworks to facilitate integration of Generative AI with enterprise capabilities. 3) Collaborate closely with engineers and scientists on strategy and roadmap. 4) Keep up with AI advancements and test new ideas. Basic Qualifications: 1) Proven, strong Python skills are a must.",Not specified,Not available
Advisory Lead Contact Center Ecosystem Modernization & Gen AI Integration,"Atlanta, Georgia, USA",Not available,"Job Title: Advisory Lead Contact Center Ecosystem Modernization & Gen AI Integration Location: Atlanta, GA (Remote / Hybrid) Duration /Term: Long Term Contract Open to: C2C (Corp-to-Corp) Candidates Role Overview: As the Advisory Lead for Contact Center Modernization & Gen AI Integration, you will drive the transformation of contact center ecosystems through advanced technologies and AI-driven solutions. This role focuses on enhancing customer experiences, optimizing operations, and moderniz",Not specified,Not available
Data scientist GEN AI Architect,"Irving, Texas, USA",Not available,"Job Tittle: AI Architect/ Engineer Location: Irving, TX Contract: Job details Master s degree in Data science, Computer Science, Artificial Intelligence, Learning, or a related field RAG Architeture and LLM models 10+ years of experience in data science , with a focus on#generative AI technology/data science 5+ years of data querying languages (e.g. SQL), scripting languages (e.g.) & Telecommunication domain experience",Not specified,Not available
Senior Project Manager (AI / Gen AI),"Alpharetta, Georgia, USA",Not available,"Job Title: Senior Project Manager (AI/ Gen AI) Location: Alpharetta GA (preferred), Irving TX, and Tampa FL also ok Duration: 12+ Months Hybrid - 3 days/week in the office Hiring Manager s Note: We are looking for someone who has recent experience as an AI/ML We do have a team that is focused on new AI work (Gen AI) We are working on multiple used cases and taking them into production We focus on marketing and sales space We build these solutions for them Someone who is hands-on with Python pro",Not specified,Not available
Gen AI Data Scientist-----------12+ years,Remote,Not available,Job Title : Gen AI Data Scientist Location: Remote Duration: Long term Job Type : Full time Responsibilities: Looking for Python Engineer/Data Scientist having experience in generative AI models and algorithms to solve complex business problemsResponsibilitiesUse generative AI models and algorithms to solve complex business problems.Instruct LLM model through prompt engineering to achieve improved accuracyTake complete ownership of a use case and collaborate with cross-functional team consist of,Not specified,Not available
Gen AI Assisted Test Engineer,"Plano, Texas, USA",Not available,"Position: Gen AI Assisted Test Engineer Location: Plano, TX Duration: Long term Department: Quality Assurance/Software Testing Overview: We are seeking a talented and enthusiastic Test Engineer to join our innovative team. The ideal candidate will be skilled in executing and managing automated tests across various browsers, diagnosing and resolving test failures, and leveraging advanced tools and AI technologies to enhance our testing processes. This role requires strong expertise in GitHub Copi",Not specified,Not available
"Technical Architect / Manager (J2EE, AWS Services, SRE Practice, Gen AI)-","San Antonio, Texas, USA",Not available,"Please share Profiles at Hi, Urgent Need, Job Title: Technical Architect / Manager (J2EE, AWS Services, SRE Practice, Gen AI)- Insurance Domain Position Type: Contract to Hire (CTH) Location: San Antonio, TX TOverview: Senior Technical Manager A highly skilled and experienced Technical Manager with a robust background in JAVAJ2EE and cloud technologies. With a proven track record of managing and delivering complex transformation projects, this professional excels in leading cross-functional te",Not specified,Not available
Java Technical Architect with Gen AI,"San Antonio, Texas, USA",Not available,"Title: Java Technical Architect with Gen AI Location: San Antonio, TX (Onsite) Contract: Long Term Manditory Skills: J2EE, AWS Services, SRE Practice, Gen AI, Insurance Domain Job Description: Overview: Senior Technical Manager A highly skilled and experienced Technical Manager with a robust background in JAVAJ2EE and cloud technologies. With a proven track record of managing and delivering complex transformation projects, this professional excels in leading cross-functional teams and driving",Not specified,Not available
